,file_name,relative_freq_adj,relative_freq_verb,relative_freq_noun,relative_freq_adv,final_person,final_location,final_org
0,0135.a4.txt,715.84,1030.37,1670.28,1670.28,32,0,4
1,2061.a4.txt,682.69,1067.31,1288.46,1288.46,20,0,3
2,1067.a4.txt,571.74,981.66,1456.31,1456.31,9,0,1
3,0216.a4.txt,439.28,1266.15,1455.64,1455.64,49,0,12
4,3042.a4.txt,588.83,1360.41,1258.88,1258.88,13,0,1
5,1032.a4.txt,639.76,1259.84,1181.1,1181.1,35,0,4
6,2062.a4.txt,619.55,1181.03,1248.79,1248.79,32,0,1
7,0238.a4.txt,455.41,1309.3,1442.13,1442.13,26,0,2
8,2067.a4.txt,566.63,1101.78,1290.66,1290.66,31,0,1
9,0102.a4.txt,575.82,1113.24,1554.7,1554.7,44,0,9
10,4028.a4.txt,515.46,1298.97,1443.3,1443.3,15,0,0
11,1018.a4.txt,633.12,1193.18,1517.86,1517.86,32,0,2
12,1065.a4.txt,688.78,1156.46,1377.55,1377.55,38,0,1
13,2048.a4.txt,741.89,1012.36,1669.24,1669.24,31,0,3
14,2019.a4.txt,515.46,1268.04,1515.46,1515.46,23,0,0
15,1008.a4.txt,681.82,998.02,1620.55,1620.55,23,0,3
16,0119.a4.txt,481.8,1338.33,1531.05,1531.05,8,0,4
17,2042.a4.txt,673.17,1063.41,1434.15,1434.15,36,0,0
18,0161.a4.txt,696.08,1078.43,1676.47,1676.47,16,0,14
19,0234.a4.txt,774.19,978.49,1634.41,1634.41,18,0,4
20,2022.a4.txt,539.15,1245.19,1463.41,1463.41,23,0,2
21,0213.a4.txt,466.8,1078.84,1753.11,1753.11,6,0,6
22,1074.a4.txt,717.53,1035.42,1425.98,1425.98,32,0,1
23,4023.a4.txt,607.52,1128.25,1292.19,1292.19,23,0,2
24,0218.a4.txt,621.81,1151.89,1264.02,1264.02,20,0,6
25,2064.a4.txt,525.19,1211.15,1404.07,1404.07,39,0,0
26,0190.a4.txt,477.67,1038.42,1308.41,1308.41,19,0,11
27,2030.a4.txt,474.14,1275.86,1344.83,1344.83,36,0,2
28,0237.a4.txt,742.31,1187.7,1495.23,1495.23,5,0,0
29,2055.a4.txt,582.12,987.53,1444.91,1444.91,32,0,1
30,1121.a4.txt,577.62,1083.03,1534.3,1534.3,37,0,2
31,2014.a4.txt,662.6,1063.64,1351.35,1351.35,41,0,3
32,0105.a4.txt,557.45,1137.66,1433.45,1433.45,8,0,2
33,0139.a4.txt,735.29,837.1,1402.71,1402.71,32,0,2
